encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
GemmaToFalcon_BBF,GemmaToFalcon_BBF,belief_bank_facts,belief_bank_facts,belief_bank_constraints,attn,gemma-2-9b-it,Falcon3-7B-Base,511,cuda:0,same_as_encoder_domain,ok,81.411,23054,23600,0.5448078424568404,0.5240938564164762,0.97466817038258,0.6816527120495085,0.5672975625988881,"[[1325,10202],[292,11235]]",0.4635169491525424,0.4124466137888957,0.17186440677966103,0.2426272656577137,0.4723149166906061,"[[8911,2889],[9772,2028]]"
GemmaToFalcon_BBF,GemmaToFalcon_BBF,belief_bank_facts,belief_bank_facts,belief_bank_constraints,mlp,gemma-2-9b-it,Falcon3-7B-Base,511,cuda:0,same_as_encoder_domain,ok,77.033,23054,23600,0.5815042942656372,0.5478823709291065,0.9325930424221394,0.6902529857454732,0.6501043423616472,"[[2656,8871],[777,10750]]",0.4969491525423729,0.49447174447174447,0.27288135593220336,0.3516819571865443,0.49818957196207986,"[[8508,3292],[8580,3220]]"
GemmaToFalcon_BBF,GemmaToFalcon_BBF,belief_bank_facts,belief_bank_facts,belief_bank_constraints,hidden,gemma-2-9b-it,Falcon3-7B-Base,511,cuda:0,same_as_encoder_domain,ok,75.459,23054,23600,0.5128827969115989,0.5990660440293529,0.07790405135768197,0.13787808997389836,0.5539131126983378,"[[10926,601],[10629,898]]",0.4942372881355932,0.482940291018565,0.163135593220339,0.2438869884707969,0.5155431377477735,"[[9739,2061],[9875,1925]]"
