encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
FalconToQwen_BBC,FalconToQwen_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,attn,Falcon3-7B-Base,Qwen2.5-7B,420,cuda:0,same_as_encoder_domain,ok,147.752,15354,7482,0.5178455125700143,0.5180834213305174,0.5112674221701186,0.514652855176031,0.530663633630795,"[[4026,3651],[3752,3925]]",0.8787757284148623,0.8715259570005244,0.888532477947073,0.8799470549305096,0.8953234354270617,"[[3251,490],[417,3324]]"
FalconToQwen_BBC,FalconToQwen_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,mlp,Falcon3-7B-Base,Qwen2.5-7B,420,cuda:0,same_as_encoder_domain,ok,138.405,15354,7482,0.4861925231210108,0.48355569345330435,0.40601797577178583,0.44140763293917723,0.4774299227221974,"[[4348,3329],[4560,3117]]",0.7185244587008821,0.6530039303761932,0.9326383319967922,0.7681638044914135,0.9170710051624567,"[[1887,1854],[252,3489]]"
FalconToQwen_BBC,FalconToQwen_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,hidden,Falcon3-7B-Base,Qwen2.5-7B,420,cuda:0,same_as_encoder_domain,ok,98.108,15354,7482,0.5127002735443532,0.5096372442423643,0.6716165168685685,0.5795211869169383,0.5465137300967626,"[[2716,4961],[2521,5156]]",0.7989842288158246,0.7454465657230634,0.9080459770114943,0.8187515063870813,0.8529889537616825,"[[2581,1160],[344,3397]]"
