encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
LlamaToQwen_BBF,LlamaToQwen_BBF,belief_bank_facts,belief_bank_facts,belief_bank_constraints,attn,Llama-3.1-8B-Instruct,Qwen2.5-7B,104,cuda:0,same_as_encoder_domain,ok,30.73,6054,19606,0.7485959696068715,0.937245787332946,0.5328708292038322,0.6794439764111204,0.9594134018369418,"[[2919,108],[1414,1613]]",0.837447720085688,0.8206047683659624,0.8637151892277874,0.8416082699667015,0.9194170137946247,"[[7952,1851],[1336,8467]]"
LlamaToQwen_BBF,LlamaToQwen_BBF,belief_bank_facts,belief_bank_facts,belief_bank_constraints,mlp,Llama-3.1-8B-Instruct,Qwen2.5-7B,104,cuda:0,same_as_encoder_domain,ok,23.036,6054,19606,0.7862570201519656,0.9112482202183199,0.6342913776015857,0.7479548110634983,0.9498199717573225,"[[2840,187],[1107,1920]]",0.7816484749566459,0.7615078613373745,0.8201570947669081,0.7897451009282451,0.8629313605749266,"[[7285,2518],[1763,8040]]"
LlamaToQwen_BBF,LlamaToQwen_BBF,belief_bank_facts,belief_bank_facts,belief_bank_constraints,hidden,Llama-3.1-8B-Instruct,Qwen2.5-7B,104,cuda:0,same_as_encoder_domain,ok,26.684,6054,19606,0.918401057152296,0.9257142857142857,0.9098116947472745,0.9176941019660113,0.9632407004507062,"[[2806,221],[273,2754]]",0.8177088646332755,0.7661738312964704,0.9145159645006631,0.8337983630952381,0.9271318336525898,"[[7067,2736],[838,8965]]"
