model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_constraints,104,2760,25268,1380,1380,2951,22317,8.8637,4097,0.2765957446808511,0.013215859030837005,0.8807186955833465,0.025226390685640362,0.3001750887260818,247.868,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_constraints,123,2760,25268,1380,1380,2951,22317,8.9543,4097,0.3105134474327628,0.04303625889528973,0.877077726769036,0.07559523809523809,0.37880369738483866,258.275,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_constraints,420,2760,25268,1380,1380,2951,22317,8.5825,4097,0.28363636363636363,0.02643171806167401,0.8785024536963748,0.04835709857408556,0.2807974227129021,268.309,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_constraints,511,2760,25268,1380,1380,2951,22317,7.7086,4097,0.14954682779456194,0.03354794984750932,0.8648488206427102,0.05480210351508442,0.28061720017260916,277.432,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_constraints,mean,0,0,0,0,0,0,8.594159999999999,4097.0,0.3169357043088633,0.040935276177566926,0.8770618964698432,0.07179579673611988,0.32129245572108023,5800.214,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,belief_bank_constraints,std,0,0,0,0,0,0,0.3434957822157355,0.0,0.09967837677836947,0.015725674370329283,0.005414598738569867,0.027255011488036423,0.04193744340902205,5800.214,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,halu_eval,2,2760,10000,1380,1380,1912,8088,8.3935,4097,0.19770684846606756,0.33368200836820083,0.6137,0.24829733411169488,0.506123120310476,286.534,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,halu_eval,4,2760,10000,1380,1380,1912,8088,8.6134,4097,0.18830634092780676,0.3587866108786611,0.5817,0.246984698469847,0.4979075941319129,295.851,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,halu_eval,24,2760,10000,1380,1380,1912,8088,9.1149,4097,0.20049710024855014,0.3797071129707113,0.5919,0.2624254473161034,0.5084805890435337,305.669,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,halu_eval,42,2760,10000,1380,1380,1912,8088,8.5413,4097,0.1990257480862909,0.29916317991631797,0.6358,0.23903050564145426,0.5048534504343436,314.917,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,halu_eval,64,2760,10000,1380,1380,1912,8088,9.4455,4097,0.19736360307579642,0.28190376569037656,0.6435,0.23217747146241655,0.5045606461765765,325.067,10,2026-07-20T00:19:11.708577+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,mlp,0,27416,halu_eval,67,2760,10000,1380,1380,1912,8088,8.6215,4097,0.2005745625489684,0.401673640167364,0.5795,0.2675492074551472,0.5066569642923655,334.398,10,2026-07-20T00:19:11.708577+00:00
