experiment,seed,dataset,trainer,tester,layer_type,trainer_layers,tester_layers,ridge_regressor_trainer_accuracy,ridge_regressor_trainer_precision,ridge_regressor_trainer_recall,ridge_regressor_trainer_f1,ridge_regressor_trainer_auroc,ridge_regressor_tester_accuracy,ridge_regressor_tester_precision,ridge_regressor_tester_recall,ridge_regressor_tester_f1,ridge_regressor_tester_auroc,procrustes_trainer_accuracy,procrustes_trainer_precision,procrustes_trainer_recall,procrustes_trainer_f1,procrustes_trainer_auroc,procrustes_tester_accuracy,procrustes_tester_precision,procrustes_tester_recall,procrustes_tester_f1,procrustes_tester_auroc,cka_trainer_accuracy,cka_trainer_precision,cka_trainer_recall,cka_trainer_f1,cka_trainer_auroc,cka_tester_accuracy,cka_tester_precision,cka_tester_recall,cka_tester_f1,cka_tester_auroc,cca_trainer_accuracy,cca_trainer_precision,cca_trainer_recall,cca_trainer_f1,cca_trainer_auroc,cca_tester_accuracy,cca_tester_precision,cca_tester_recall,cca_tester_f1,cca_tester_auroc,hybrid_trainer_accuracy,hybrid_trainer_precision,hybrid_trainer_recall,hybrid_trainer_f1,hybrid_trainer_auroc,hybrid_tester_accuracy,hybrid_tester_precision,hybrid_tester_recall,hybrid_tester_f1,hybrid_tester_auroc,full_nonlinear_trainer_accuracy,full_nonlinear_trainer_precision,full_nonlinear_trainer_recall,full_nonlinear_trainer_f1,full_nonlinear_trainer_auroc,full_nonlinear_tester_accuracy,full_nonlinear_tester_precision,full_nonlinear_tester_recall,full_nonlinear_tester_f1,full_nonlinear_tester_auroc,reduced_nonlinear_trainer_accuracy,reduced_nonlinear_trainer_precision,reduced_nonlinear_trainer_recall,reduced_nonlinear_trainer_f1,reduced_nonlinear_trainer_auroc,reduced_nonlinear_tester_accuracy,reduced_nonlinear_tester_precision,reduced_nonlinear_tester_recall,reduced_nonlinear_tester_f1,reduced_nonlinear_tester_auroc,one_for_all_trainer_accuracy,one_for_all_trainer_precision,one_for_all_trainer_recall,one_for_all_trainer_f1,one_for_all_trainer_auroc,one_for_all_tester_accuracy,one_for_all_tester_precision,one_for_all_tester_recall,one_for_all_tester_f1,one_for_all_tester_auroc
FalconToQwen_HE,64,halu_eval,Falcon3-7B-Base,Qwen2.5-7B,attn,"[16, 17, 19]","[8, 16, 22]",0.5712090163934426,0.5849639546858908,0.5668662674650699,0.575772934617334,0.5829020905557307,0.6047058823529412,0.5969802555168409,0.6126340882002383,0.6047058823529412,0.629111588238307,0.5712090163934426,0.5849639546858908,0.5668662674650699,0.575772934617334,0.5829020905557307,0.6447058823529411,0.634902411021814,0.6591179976162098,0.6467836257309941,0.6938255403327063,0.5712090163934426,0.5849639546858908,0.5668662674650699,0.575772934617334,0.5829020905557307,0.6435294117647059,0.6284454244762955,0.6793802145411204,0.6529209621993127,0.6938255403327063,0.5712090163934426,0.5849639546858908,0.5668662674650699,0.575772934617334,0.5829020905557307,0.5229411764705882,0.5160183066361556,0.5375446960667462,0.5265615878575598,0.5144266375406815,0.5712090163934426,0.5849639546858908,0.5668662674650699,0.575772934617334,0.5829020905557307,0.5970588235294118,0.5889145496535797,0.6078665077473182,0.5982404692082112,0.6391284907230139,0.5814549180327869,0.585886722376973,0.6297405189620758,0.607022607022607,0.5754533039184788,0.6188235294117647,0.5995828988529719,0.6853396901072706,0.639599555061179,0.6707988465888405,0.5271516393442623,0.5406797116374872,0.5239520958083832,0.5321844906234161,0.5368147914696922,0.5494117647058824,0.550624133148405,0.4731823599523242,0.5089743589743589,0.564770016847112,0.5753073770491803,0.5829338446788112,0.6067864271457086,0.5946210268948655,0.5836159260426516,0.7023529411764706,0.716514954486346,0.6567342073897497,0.6853233830845771,0.7563647337477971
FalconToQwen_HE,64,halu_eval,Falcon3-7B-Base,Qwen2.5-7B,mlp,"[1, 2, 19]","[5, 22, 26]",0.5558401639344263,0.5686673448626653,0.5578842315369261,0.5632241813602015,0.5531206009034562,0.6205882352941177,0.6122685185185185,0.6305125148986889,0.6212566059894304,0.6406955351692117,0.5558401639344263,0.5686673448626653,0.5578842315369261,0.5632241813602015,0.5531206009034562,0.6847058823529412,0.6801426872770512,0.6817640047675805,0.680952380952381,0.7389195976073502,0.5558401639344263,0.5686673448626653,0.5578842315369261,0.5632241813602015,0.5531206009034562,0.6823529411764706,0.6843403205918619,0.6615017878426699,0.6727272727272727,0.7389195976073502,0.5558401639344263,0.5686673448626653,0.5578842315369261,0.5632241813602015,0.5531206009034562,0.5188235294117647,0.5124260355029586,0.5160905840286055,0.5142517814726841,0.51855466451821,0.5543032786885246,0.5673469387755102,0.5548902195608783,0.5610494450050454,0.553242987708793,0.6494117647058824,0.6401384083044983,0.6615017878426699,0.6506447831184057,0.7049498947228533,0.5435450819672131,0.5620111731843576,0.501996007984032,0.5303110173958883,0.5419644920684946,0.61,0.6009174311926605,0.6245530393325387,0.6125073056691993,0.6622174786365606,0.5087090163934426,0.5351882160392799,0.3263473053892216,0.40545567265964044,0.5395934446895683,0.5111764705882353,0.5084745762711864,0.2860548271752086,0.36613272311212813,0.5070274744974592,0.5440573770491803,0.556,0.5548902195608783,0.5554445554445554,0.5396596281121967,0.6847058823529412,0.6637837837837838,0.7318235995232419,0.6961451247165533,0.7521121184309068
FalconToQwen_HE,64,halu_eval,Falcon3-7B-Base,Qwen2.5-7B,hidden,"[1, 6, 15]","[7, 24, 26]",0.5645491803278688,0.5775510204081633,0.564870259481038,0.5711402623612513,0.5782923626431348,0.6129411764705882,0.6058479532163743,0.6174016686531585,0.6115702479338843,0.6296438573103593,0.5645491803278688,0.5775510204081633,0.564870259481038,0.5711402623612513,0.5782923626431348,0.6717647058823529,0.6639439906651109,0.6781883194278904,0.6709905660377359,0.7280028904494732,0.5645491803278688,0.5775510204081633,0.564870259481038,0.5711402623612513,0.5782923626431348,0.6717647058823529,0.6745341614906832,0.6471990464839095,0.6605839416058394,0.7280042747643549,0.5645491803278688,0.5775510204081633,0.564870259481038,0.5711402623612513,0.5782923626431348,0.5423529411764706,0.5390524967989757,0.5017878426698451,0.519753086419753,0.5558605662678455,0.5645491803278688,0.5775510204081633,0.564870259481038,0.5711402623612513,0.5782923626431348,0.5982352941176471,0.5900692840646651,0.6090584028605482,0.5994134897360703,0.6491543912544524,0.5215163934426229,0.5349075975359343,0.5199600798403193,0.5273279352226721,0.523479357075323,0.5976470588235294,0.5814931650893796,0.6591179976162098,0.617877094972067,0.6367945358322985,0.5117827868852459,0.5225390984360626,0.5668662674650699,0.5438008616562949,0.5276037398886437,0.5441176470588235,0.5388349514563107,0.5292014302741359,0.533974744437763,0.5488829271061313,0.5251024590163934,0.5428571428571428,0.4740518962075848,0.5061267980820459,0.5307574325034142,0.7152941176470589,0.7151515151515152,0.7032181168057211,0.7091346153846154,0.7754239810404233
