encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
FalconToGemma_HE,FalconToGemma_HE,halu_eval,halu_eval,belief_bank_constraints,attn,Falcon3-7B-Base,gemma-2-9b-it,511,cuda:0,same_as_encoder_domain,ok,45.744,23600,23054,0.49360169491525424,0.4946052161486245,0.5866101694915254,0.53669315758868,0.488222346308532,"[[4727,7073],[4878,6922]]",0.5164830398195541,0.5084474479815045,0.9921054914548452,0.6723301684352861,0.562729307150056,"[[471,11056],[91,11436]]"
FalconToGemma_HE,FalconToGemma_HE,halu_eval,halu_eval,belief_bank_constraints,mlp,Falcon3-7B-Base,gemma-2-9b-it,511,cuda:0,same_as_encoder_domain,ok,36.539,23600,23054,0.4861864406779661,0.47515243902439025,0.2641525423728814,0.33954248366013073,0.487836002585464,"[[8357,3443],[8683,3117]]",0.5749110783378155,0.5443070449997435,0.9202741389780515,0.684034046943513,0.6519164321253018,"[[2646,8881],[919,10608]]"
FalconToGemma_HE,FalconToGemma_HE,halu_eval,halu_eval,belief_bank_constraints,hidden,Falcon3-7B-Base,gemma-2-9b-it,511,cuda:0,same_as_encoder_domain,ok,35.777,23600,23054,0.5216525423728814,0.5162129576749793,0.6894067796610169,0.5903697521680757,0.5278112144498707,"[[4176,7624],[3665,8135]]",0.5061594517220439,0.5031001659243735,0.9995662357942222,0.6693194690522525,0.5707335079533735,"[[147,11380],[5,11522]]"
