encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
GemmaToFalcon_HE,GemmaToFalcon_HE,halu_eval,halu_eval,belief_bank_facts,attn,gemma-2-9b-it,Falcon3-7B-Base,24,cuda:0,same_as_encoder_domain,ok,21.071,1792,15354,0.5747767857142857,0.5414603960396039,0.9765625,0.696656050955414,0.6977047044403699,"[[155,741],[21,875]]",0.5098997004038036,0.5114977307110439,0.4404064087534193,0.47329740323370895,0.5121723054722326,"[[4448,3229],[4296,3381]]"
GemmaToFalcon_HE,GemmaToFalcon_HE,halu_eval,halu_eval,belief_bank_facts,mlp,gemma-2-9b-it,Falcon3-7B-Base,24,cuda:0,same_as_encoder_domain,ok,21.971,1792,15354,0.5440848214285714,0.5241295051924252,0.9575892857142857,0.6774575602052901,0.5350030393016582,"[[117,779],[38,858]]",0.4906864660674743,0.4927330013212725,0.6314966783899961,0.5535510390500115,0.49127478740659264,"[[2686,4991],[2829,4848]]"
GemmaToFalcon_HE,GemmaToFalcon_HE,halu_eval,halu_eval,belief_bank_facts,hidden,gemma-2-9b-it,Falcon3-7B-Base,24,cuda:0,same_as_encoder_domain,ok,22.918,1792,15354,0.7092633928571429,0.659303313508921,0.8660714285714286,0.7486734201640135,0.812026666135204,"[[495,401],[120,776]]",0.4656766966262863,0.44592653396265136,0.2830532760192784,0.34629482071713147,0.4590170775651805,"[[4977,2700],[5504,2173]]"
