encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,attn,Falcon3-7B-Base,gemma-2-9b-it,24,cuda:0,same_as_encoder_domain,ok,158.811,15354,1792,0.5146541617819461,0.5162831089882761,0.46463462289957014,0.4890991361579597,0.5296456876369072,"[[4335,3342],[4110,3567]]",0.7092633928571429,0.8964059196617337,0.4732142857142857,0.6194302410518627,0.7077811104910714,"[[847,49],[472,424]]"
FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,mlp,Falcon3-7B-Base,gemma-2-9b-it,24,cuda:0,same_as_encoder_domain,ok,123.905,15354,1792,0.49172853979419046,0.48912857387433656,0.3721505796535105,0.42269566503920697,0.47157256774510004,"[[4693,2984],[4820,2857]]",0.5524553571428571,0.5560859188544153,0.5200892857142857,0.5374855824682814,0.5143426389110332,"[[524,372],[430,466]]"
FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,hidden,Falcon3-7B-Base,gemma-2-9b-it,24,cuda:0,same_as_encoder_domain,ok,100.602,15354,1792,0.5388172463201771,0.5571538166474875,0.3784030220138075,0.45070204018307347,0.5567630111471653,"[[5368,2309],[4772,2905]]",0.6936383928571429,0.8699360341151386,0.45535714285714285,0.5978021978021978,0.6719833685427297,"[[835,61],[488,408]]"
