encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
LlamaToQwen_HE,LlamaToQwen_HE,halu_eval,halu_eval,belief_bank_constraints,attn,Llama-3.1-8B-Instruct,Qwen2.5-7B,64,cuda:0,same_as_encoder_domain,ok,24.735,6054,19606,0.5003303600925009,0.5001652346331791,1.0,0.6668135257186915,0.809266649706654,"[[2,3025],[0,3027]]",0.5,0.0,0.0,0.0,0.6083723316487721,"[[9803,0],[9803,0]]"
LlamaToQwen_HE,LlamaToQwen_HE,halu_eval,halu_eval,belief_bank_constraints,mlp,Llama-3.1-8B-Instruct,Qwen2.5-7B,64,cuda:0,same_as_encoder_domain,ok,28.685,6054,19606,0.5,0.5,1.0,0.6666666666666666,0.827559671359919,"[[0,3027],[0,3027]]",0.41732122819545037,0.18597442851607904,0.04896460267265123,0.07751937984496124,0.2513232083864848,"[[7702,2101],[9323,480]]"
LlamaToQwen_HE,LlamaToQwen_HE,halu_eval,halu_eval,belief_bank_constraints,hidden,Llama-3.1-8B-Instruct,Qwen2.5-7B,64,cuda:0,same_as_encoder_domain,ok,24.477,6054,19606,0.5001651800462504,0.5000827677536832,0.998017839444995,0.6662990736656375,0.8085035037050643,"[[7,3020],[6,3021]]",0.42354381311843314,0.19520130134200894,0.04896460267265123,0.0782906540531724,0.30039074677814165,"[[7824,1979],[9323,480]]"
