encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
QwenToFalcon_HE,QwenToFalcon_HE,halu_eval,halu_eval,belief_bank_facts,attn,Qwen2.5-7B,Falcon3-7B-Base,42,cuda:0,same_as_encoder_domain,ok,34.952,7482,15354,0.5,0.0,0.0,0.0,0.3808954017486572,"[[3741,0],[3741,0]]",0.5076852937345318,0.5063277563277563,0.6149537579783769,0.5553790953473325,0.522062453194192,"[[3074,4603],[2956,4721]]"
QwenToFalcon_HE,QwenToFalcon_HE,halu_eval,halu_eval,belief_bank_facts,mlp,Qwen2.5-7B,Falcon3-7B-Base,42,cuda:0,same_as_encoder_domain,ok,30.403,7482,15354,0.32825447741245656,0.17826740110165248,0.09516172146484897,0.1240850470547229,0.49459460077437206,"[[2100,1641],[3385,356]]",0.488862837045721,0.4913065582104728,0.6294125309365638,0.5518501598903609,0.509658999969272,"[[2674,5003],[2845,4832]]"
QwenToFalcon_HE,QwenToFalcon_HE,halu_eval,halu_eval,belief_bank_facts,hidden,Qwen2.5-7B,Falcon3-7B-Base,42,cuda:0,same_as_encoder_domain,ok,35.964,7482,15354,0.32825447741245656,0.17826740110165248,0.09516172146484897,0.1240850470547229,0.539391376155665,"[[2100,1641],[3385,356]]",0.5020841474534323,0.50165734410607,0.6308453823107985,0.5588829265478045,0.5028164716536722,"[[2866,4811],[2834,4843]]"
