encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
LlamaToGemma_HE,LlamaToGemma_HE,halu_eval,halu_eval,belief_bank_facts,attn,Llama-3.1-8B-Instruct,gemma-2-9b-it,104,cuda:0,same_as_encoder_domain,ok,28.999,3892,1792,0.56551901336074,0.536335138216016,0.9671120246659815,0.6900091659028414,0.6296853429017174,"[[319,1627],[64,1882]]",0.5,0.5,1.0,0.6666666666666666,0.7373812928491709,"[[0,896],[0,896]]"
LlamaToGemma_HE,LlamaToGemma_HE,halu_eval,halu_eval,belief_bank_facts,mlp,Llama-3.1-8B-Instruct,gemma-2-9b-it,104,cuda:0,same_as_encoder_domain,ok,26.234,3892,1792,0.3800102774922919,0.37546666666666667,0.3617677286742035,0.3684899241036378,0.34658967877819313,"[[775,1171],[1242,704]]",0.5,0.5,1.0,0.6666666666666666,0.7407942791374362,"[[0,896],[0,896]]"
LlamaToGemma_HE,LlamaToGemma_HE,halu_eval,halu_eval,belief_bank_facts,hidden,Llama-3.1-8B-Instruct,gemma-2-9b-it,104,cuda:0,same_as_encoder_domain,ok,23.727,3892,1792,0.5,0.5,1.0,0.6666666666666666,0.5893964904423548,"[[0,1946],[0,1946]]",0.6183035714285714,0.5676020408163265,0.9933035714285714,0.7224025974025974,0.8755574129065689,"[[218,678],[6,890]]"
