encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
FalconToQwen_BBC,FalconToQwen_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,attn,Falcon3-7B-Base,Qwen2.5-7B,67,cuda:0,same_as_encoder_domain,ok,185.96,15354,7482,0.5126351439364335,0.5137940841865757,0.4706265468281881,0.4912638520633626,0.5256828941619353,"[[4258,3419],[4064,3613]]",0.7924351777599572,0.7694581280788177,0.835070836674686,0.8009229585950519,0.836828454226167,"[[2805,936],[617,3124]]"
FalconToQwen_BBC,FalconToQwen_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,mlp,Falcon3-7B-Base,Qwen2.5-7B,67,cuda:0,same_as_encoder_domain,ok,188.474,15354,7482,0.49172853979419046,0.4905576208178439,0.4297251530545786,0.4581308151645605,0.48457583776553165,"[[4251,3426],[4378,3299]]",0.6474204758086073,0.5947757346623131,0.9251537022186581,0.7240585774058578,0.8499626047180435,"[[1383,2358],[280,3461]]"
FalconToQwen_BBC,FalconToQwen_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,hidden,Falcon3-7B-Base,Qwen2.5-7B,67,cuda:0,same_as_encoder_domain,ok,93.368,15354,7482,0.5234466588511137,0.5120870265914585,0.9933567799921844,0.6757942310248571,0.5453007261446502,"[[411,7266],[51,7626]]",0.698609997326918,0.6367316893632683,0.9248863940122962,0.7542234332425068,0.9036816578625019,"[[1767,1974],[281,3460]]"
