encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
QwenToLlama_BBC,QwenToLlama_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,attn,Qwen2.5-7B,Llama-3.1-8B-Instruct,2,cuda:0,same_as_encoder_domain,ok,78.071,7482,3892,0.7996524993317294,0.8291250733998825,0.7548783747661053,0.7902616482440185,0.8539536141305648,"[[3159,582],[917,2824]]",0.8607399794450155,0.8165013525698828,0.9306269270298048,0.8698366954851104,0.9286535534456006,"[[1539,407],[135,1811]]"
QwenToLlama_BBC,QwenToLlama_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,mlp,Qwen2.5-7B,Llama-3.1-8B-Instruct,2,cuda:0,same_as_encoder_domain,ok,88.384,7482,3892,0.8484362469927826,0.82177240187608,0.8898690189788826,0.8544661190965093,0.9120754285023431,"[[3019,722],[412,3329]]",0.8412127440904419,0.7969588550983899,0.9157245632065776,0.8522238163558106,0.903271553950497,"[[1492,454],[164,1782]]"
QwenToLlama_BBC,QwenToLlama_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,hidden,Qwen2.5-7B,Llama-3.1-8B-Instruct,2,cuda:0,same_as_encoder_domain,ok,92.463,7482,3892,0.8672814755412991,0.875204806116876,0.8567228013900027,0.8658651897879238,0.9240659628908185,"[[3284,457],[536,3205]]",0.7795477903391572,0.8741403026134801,0.6531346351490236,0.7476470588235294,0.8903840222492391,"[[1763,183],[675,1271]]"
