encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
LlamaToGemma_BBC,LlamaToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,attn,Llama-3.1-8B-Instruct,gemma-2-9b-it,67,cuda:0,same_as_encoder_domain,ok,46.016,3892,1792,0.7600205549845838,0.8461012311901505,0.6356628982528263,0.7259389671361502,0.8953906028018578,"[[1721,225],[709,1237]]",0.6819196428571429,0.7263888888888889,0.5837053571428571,0.6472772277227723,0.7437096420599489,"[[699,197],[373,523]]"
LlamaToGemma_BBC,LlamaToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,mlp,Llama-3.1-8B-Instruct,gemma-2-9b-it,67,cuda:0,same_as_encoder_domain,ok,49.176,3892,1792,0.7918807810894142,0.8450789793438639,0.7147995889003084,0.7744988864142539,0.9142843411366928,"[[1691,255],[555,1391]]",0.5106026785714286,0.5095285857572718,0.5669642857142857,0.5367142102482831,0.5617968500876913,"[[407,489],[388,508]]"
LlamaToGemma_BBC,LlamaToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,hidden,Llama-3.1-8B-Instruct,gemma-2-9b-it,67,cuda:0,same_as_encoder_domain,ok,50.052,3892,1792,0.7271325796505652,0.7698412698412699,0.6479958890030832,0.7036830357142857,0.8568100005386969,"[[1569,377],[685,1261]]",0.6227678571428571,0.9508196721311475,0.25892857142857145,0.4070175438596491,0.7476071727519132,"[[884,12],[664,232]]"
