encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
QwenToLlama_HE,QwenToLlama_HE,halu_eval,halu_eval,belief_bank_facts,attn,Qwen2.5-7B,Llama-3.1-8B-Instruct,64,cuda:0,same_as_encoder_domain,ok,22.819,7482,3892,0.5,0.0,0.0,0.0,0.4343969856265927,"[[3741,0],[3741,0]]",0.6515930113052415,0.5930012610340479,0.9665981500513875,0.735052754982415,0.680266607445214,"[[655,1291],[65,1881]]"
QwenToLlama_HE,QwenToLlama_HE,halu_eval,halu_eval,belief_bank_facts,mlp,Qwen2.5-7B,Llama-3.1-8B-Instruct,64,cuda:0,same_as_encoder_domain,ok,21.197,7482,3892,0.33092755947607594,0.1800708143651998,0.09516172146484897,0.12451906260930395,0.4987676027026925,"[[2120,1621],[3385,356]]",0.5570400822199383,0.5787234042553191,0.4193216855087359,0.4862932061978546,0.5871519199263993,"[[1352,594],[1130,816]]"
QwenToLlama_HE,QwenToLlama_HE,halu_eval,halu_eval,belief_bank_facts,hidden,Qwen2.5-7B,Llama-3.1-8B-Instruct,64,cuda:0,same_as_encoder_domain,ok,28.428,7482,3892,0.3696872493985565,0.2334609075997813,0.11414060411654638,0.1533213644524237,0.463909855184118,"[[2339,1402],[3314,427]]",0.5506166495375129,0.5425118687958567,0.6459403905447071,0.58972554539057,0.5410690387639969,"[[886,1060],[689,1257]]"
