encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
QwenToFalcon_HE,QwenToFalcon_HE,halu_eval,halu_eval,belief_bank_constraints,attn,Qwen2.5-7B,Falcon3-7B-Base,2,cuda:0,same_as_encoder_domain,ok,37.669,19606,23600,0.5,0.0,0.0,0.0,0.39226484065999195,"[[9803,0],[9803,0]]",0.49110169491525424,0.4918906394810009,0.5397457627118644,0.514708259253273,0.4779610959494398,"[[5221,6579],[5431,6369]]"
QwenToFalcon_HE,QwenToFalcon_HE,halu_eval,halu_eval,belief_bank_constraints,mlp,Qwen2.5-7B,Falcon3-7B-Base,2,cuda:0,same_as_encoder_domain,ok,28.648,19606,23600,0.4512394165051515,0.2217694994179278,0.03886565337141691,0.06614009200590226,0.27779793295877375,"[[8466,1337],[9422,381]]",0.5000423728813559,0.5000212035113015,0.9992372881355932,0.6665159266272859,0.5308813810686585,"[[10,11790],[9,11791]]"
QwenToFalcon_HE,QwenToFalcon_HE,halu_eval,halu_eval,belief_bank_constraints,hidden,Qwen2.5-7B,Falcon3-7B-Base,2,cuda:0,same_as_encoder_domain,ok,30.65,19606,23600,0.3925328980924207,0.39578593332673856,0.4081403651943283,0.40186822016874246,0.36191701397672893,"[[3695,6108],[5802,4001]]",0.5000423728813559,0.5000212053098095,0.9991525423728813,0.6664970745357416,0.5277188738868142,"[[11,11789],[10,11790]]"
