experiment,seed,dataset,trainer,tester,layer_type,trainer_layers,tester_layers,ridge_regressor_trainer_accuracy,ridge_regressor_trainer_precision,ridge_regressor_trainer_recall,ridge_regressor_trainer_f1,ridge_regressor_trainer_auroc,ridge_regressor_tester_accuracy,ridge_regressor_tester_precision,ridge_regressor_tester_recall,ridge_regressor_tester_f1,ridge_regressor_tester_auroc,procrustes_trainer_accuracy,procrustes_trainer_precision,procrustes_trainer_recall,procrustes_trainer_f1,procrustes_trainer_auroc,procrustes_tester_accuracy,procrustes_tester_precision,procrustes_tester_recall,procrustes_tester_f1,procrustes_tester_auroc,cka_trainer_accuracy,cka_trainer_precision,cka_trainer_recall,cka_trainer_f1,cka_trainer_auroc,cka_tester_accuracy,cka_tester_precision,cka_tester_recall,cka_tester_f1,cka_tester_auroc,cca_trainer_accuracy,cca_trainer_precision,cca_trainer_recall,cca_trainer_f1,cca_trainer_auroc,cca_tester_accuracy,cca_tester_precision,cca_tester_recall,cca_tester_f1,cca_tester_auroc,hybrid_trainer_accuracy,hybrid_trainer_precision,hybrid_trainer_recall,hybrid_trainer_f1,hybrid_trainer_auroc,hybrid_tester_accuracy,hybrid_tester_precision,hybrid_tester_recall,hybrid_tester_f1,hybrid_tester_auroc,full_nonlinear_trainer_accuracy,full_nonlinear_trainer_precision,full_nonlinear_trainer_recall,full_nonlinear_trainer_f1,full_nonlinear_trainer_auroc,full_nonlinear_tester_accuracy,full_nonlinear_tester_precision,full_nonlinear_tester_recall,full_nonlinear_tester_f1,full_nonlinear_tester_auroc,reduced_nonlinear_trainer_accuracy,reduced_nonlinear_trainer_precision,reduced_nonlinear_trainer_recall,reduced_nonlinear_trainer_f1,reduced_nonlinear_trainer_auroc,reduced_nonlinear_tester_accuracy,reduced_nonlinear_tester_precision,reduced_nonlinear_tester_recall,reduced_nonlinear_tester_f1,reduced_nonlinear_tester_auroc,one_for_all_trainer_accuracy,one_for_all_trainer_precision,one_for_all_trainer_recall,one_for_all_trainer_f1,one_for_all_trainer_auroc,one_for_all_tester_accuracy,one_for_all_tester_precision,one_for_all_tester_recall,one_for_all_tester_f1,one_for_all_tester_auroc
QwenToGemma_HE,24,halu_eval,Qwen2.5-7B,gemma-2-9b-it,attn,"[8, 16, 22]","[21, 26, 27]",0.6711764705882353,0.68408262454435,0.6531322505800464,0.6682492581602374,0.7357355652891372,0.698252688172043,0.6821608040201005,0.7347767253044655,0.7074918566775245,0.7624708452045217,0.6711764705882353,0.68408262454435,0.6531322505800464,0.6682492581602374,0.7357355652891372,0.6565860215053764,0.6524064171122995,0.6603518267929634,0.65635507733692,0.7168222492416592,0.6711764705882353,0.68408262454435,0.6531322505800464,0.6682492581602374,0.7357355652891372,0.6579301075268817,0.6441102756892231,0.6955345060893099,0.6688353936239427,0.7168222492416592,0.6711764705882353,0.68408262454435,0.6531322505800464,0.6682492581602374,0.7357355652891372,0.5235215053763441,0.5191815856777494,0.5493910690121786,0.5338593030900723,0.5419440625389559,0.6711764705882353,0.68408262454435,0.6531322505800464,0.6682492581602374,0.7357355652891372,0.6290322580645161,0.6203346203346203,0.652232746955345,0.6358839050131926,0.6797561385410588,0.7088235294117647,0.7224242424242424,0.691415313225058,0.7065797273266153,0.781995304254412,0.6505376344086021,0.639135959339263,0.6806495263870095,0.6592398427260813,0.7087953084943208,0.6705882352941176,0.6670353982300885,0.6995359628770301,0.6828992072480181,0.7363529893847355,0.616263440860215,0.5905172413793104,0.7415426251691475,0.6574685062987402,0.6739089196059338,0.691764705882353,0.7144670050761421,0.6531322505800464,0.6824242424242424,0.7471620641345819,0.7170698924731183,0.7572815533980582,0.6332882273342354,0.6897568165070007,0.7914332325825504
QwenToGemma_HE,24,halu_eval,Qwen2.5-7B,gemma-2-9b-it,mlp,"[5, 22, 26]","[23, 25, 28]",0.6905882352941176,0.6935483870967742,0.6983758700696056,0.6959537572254335,0.7391327821738867,0.7049731182795699,0.6833740831295844,0.7564276048714479,0.7180475272960822,0.7641239288830755,0.6905882352941176,0.6935483870967742,0.6983758700696056,0.6959537572254335,0.7391327821738867,0.6518817204301075,0.6491228070175439,0.6508795669824087,0.65,0.6982318327910377,0.6905882352941176,0.6935483870967742,0.6983758700696056,0.6959537572254335,0.7391327821738867,0.6317204301075269,0.5944609297725024,0.8132611637347767,0.6868571428571428,0.6982318327910377,0.6905882352941176,0.6935483870967742,0.6983758700696056,0.6959537572254335,0.7391327821738867,0.5490591397849462,0.5397196261682243,0.625169147496617,0.5793103448275863,0.5586736306956863,0.6905882352941176,0.6935483870967742,0.6983758700696056,0.6959537572254335,0.7391327821738867,0.6431451612903226,0.6452513966480447,0.625169147496617,0.6350515463917525,0.7007195882285989,0.6882352941176471,0.7004830917874396,0.6728538283062645,0.6863905325443787,0.7724072341061748,0.6579301075268817,0.6619718309859155,0.6359945872801083,0.6487232574189096,0.7211419465918473,0.6711764705882353,0.6719636776390465,0.6867749419953596,0.6792885829030407,0.7448737187757837,0.6061827956989247,0.6153846153846154,0.5520974289580515,0.5820256776034237,0.6566084504192329,0.7,0.7070588235294117,0.697215777262181,0.7021028037383178,0.7590315578468235,0.6774193548387096,0.7411545623836127,0.5385656292286874,0.6238244514106583,0.7644455123746412
QwenToGemma_HE,24,halu_eval,Qwen2.5-7B,gemma-2-9b-it,hidden,"[7, 24, 26]","[19, 24, 28]",0.6741176470588235,0.6850961538461539,0.6612529002320185,0.6729634002361276,0.7377705729584859,0.719758064516129,0.6963414634146341,0.7726657645466847,0.7325208466966003,0.783764008303358,0.6741176470588235,0.6850961538461539,0.6612529002320185,0.6729634002361276,0.7377705729584859,0.6283602150537635,0.6328571428571429,0.5994587280108254,0.6157053509381515,0.6846422202991449,0.6741176470588235,0.6850961538461539,0.6612529002320185,0.6729634002361276,0.7377705729584859,0.6330645161290323,0.6201743462017435,0.6738836265223275,0.6459143968871596,0.6846422202991449,0.6741176470588235,0.6850961538461539,0.6612529002320185,0.6729634002361276,0.7377705729584859,0.5752688172043011,0.565483476132191,0.625169147496617,0.5938303341902313,0.5994551147131675,0.6741176470588235,0.6850961538461539,0.6612529002320185,0.6729634002361276,0.7377705729584859,0.6391129032258065,0.6414565826330533,0.6197564276048715,0.6304198210598762,0.6982462859816697,0.6835294117647058,0.6824324324324325,0.703016241299304,0.6925714285714286,0.7578389326038686,0.6451612903225806,0.6260454002389486,0.7090663058186739,0.6649746192893401,0.6953818442632577,0.68,0.6879432624113475,0.6751740139211136,0.6814988290398126,0.7573606365836235,0.635752688172043,0.6591276252019386,0.5520974289580515,0.6008836524300442,0.6986726551053186,0.6794117647058824,0.6898203592814371,0.6682134570765661,0.6788450206246317,0.7423098859841961,0.7116935483870968,0.7341389728096677,0.6576454668470907,0.6937901498929336,0.7802898226051515
