encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
LlamaToQwen_HE,LlamaToQwen_HE,halu_eval,halu_eval,belief_bank_constraints,attn,Llama-3.1-8B-Instruct,Qwen2.5-7B,2,cuda:0,same_as_encoder_domain,ok,34.621,6054,19606,0.5201519656425504,0.6564102564102564,0.08457218368021142,0.1498390400936494,0.8455899983509281,"[[2893,134],[2771,256]]",0.5000510047944506,1.0,0.00010200958890135672,0.0002039983680130559,0.6039205074851656,"[[9803,0],[9802,1]]"
LlamaToQwen_HE,LlamaToQwen_HE,halu_eval,halu_eval,belief_bank_constraints,mlp,Llama-3.1-8B-Instruct,Qwen2.5-7B,2,cuda:0,same_as_encoder_domain,ok,28.192,6054,19606,0.8434093161546086,0.7953964194373402,0.9246778989098117,0.8551787351054079,0.8583657227011735,"[[2307,720],[228,2799]]",0.5,0.0,0.0,0.0,0.32898116354386864,"[[9803,0],[9803,0]]"
LlamaToQwen_HE,LlamaToQwen_HE,halu_eval,halu_eval,belief_bank_constraints,hidden,Llama-3.1-8B-Instruct,Qwen2.5-7B,2,cuda:0,same_as_encoder_domain,ok,31.595,6054,19606,0.6362735381565907,0.5824175824175825,0.9629996696399075,0.7258466135458167,0.8303548538868715,"[[937,2090],[112,2915]]",0.47862899112516577,0.3449296817172465,0.04753646842803223,0.08355746817285278,0.31511610097061665,"[[8918,885],[9337,466]]"
