encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,attn,Falcon3-7B-Base,gemma-2-9b-it,2,cuda:0,same_as_encoder_domain,ok,171.499,15354,1792,0.49348703920802395,0.49236174763214174,0.41982545265077503,0.4532095901005414,0.5182459786390836,"[[4354,3323],[4454,3223]]",0.7511160714285714,0.95,0.5301339285714286,0.6805157593123209,0.7681523537149235,"[[871,25],[421,475]]"
FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,mlp,Falcon3-7B-Base,gemma-2-9b-it,2,cuda:0,same_as_encoder_domain,ok,147.078,15354,1792,0.49798098215448744,0.49740759324301725,0.3873909079067344,0.4355594610427651,0.4915034154909784,"[[4672,3005],[4703,2974]]",0.47935267857142855,0.48444070647603027,0.6428571428571429,0.5525179856115108,0.5839370416135203,"[[283,613],[320,576]]"
FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,hidden,Falcon3-7B-Base,gemma-2-9b-it,2,cuda:0,same_as_encoder_domain,ok,73.795,15354,1792,0.5200599192392862,0.5147340221967087,0.7007945812166211,0.5935241877654587,0.5465940710355408,"[[2605,5072],[2297,5380]]",0.47488839285714285,0.4701195219123506,0.3950892857142857,0.42935112189205576,0.515487359494579,"[[497,399],[542,354]]"
