experiment,seed,dataset,trainer,tester,layer_type,trainer_layers,tester_layers,ridge_regressor_trainer_accuracy,ridge_regressor_trainer_precision,ridge_regressor_trainer_recall,ridge_regressor_trainer_f1,ridge_regressor_trainer_auroc,ridge_regressor_tester_accuracy,ridge_regressor_tester_precision,ridge_regressor_tester_recall,ridge_regressor_tester_f1,ridge_regressor_tester_auroc,procrustes_trainer_accuracy,procrustes_trainer_precision,procrustes_trainer_recall,procrustes_trainer_f1,procrustes_trainer_auroc,procrustes_tester_accuracy,procrustes_tester_precision,procrustes_tester_recall,procrustes_tester_f1,procrustes_tester_auroc,cka_trainer_accuracy,cka_trainer_precision,cka_trainer_recall,cka_trainer_f1,cka_trainer_auroc,cka_tester_accuracy,cka_tester_precision,cka_tester_recall,cka_tester_f1,cka_tester_auroc,cca_trainer_accuracy,cca_trainer_precision,cca_trainer_recall,cca_trainer_f1,cca_trainer_auroc,cca_tester_accuracy,cca_tester_precision,cca_tester_recall,cca_tester_f1,cca_tester_auroc,hybrid_trainer_accuracy,hybrid_trainer_precision,hybrid_trainer_recall,hybrid_trainer_f1,hybrid_trainer_auroc,hybrid_tester_accuracy,hybrid_tester_precision,hybrid_tester_recall,hybrid_tester_f1,hybrid_tester_auroc,full_nonlinear_trainer_accuracy,full_nonlinear_trainer_precision,full_nonlinear_trainer_recall,full_nonlinear_trainer_f1,full_nonlinear_trainer_auroc,full_nonlinear_tester_accuracy,full_nonlinear_tester_precision,full_nonlinear_tester_recall,full_nonlinear_tester_f1,full_nonlinear_tester_auroc,reduced_nonlinear_trainer_accuracy,reduced_nonlinear_trainer_precision,reduced_nonlinear_trainer_recall,reduced_nonlinear_trainer_f1,reduced_nonlinear_trainer_auroc,reduced_nonlinear_tester_accuracy,reduced_nonlinear_tester_precision,reduced_nonlinear_tester_recall,reduced_nonlinear_tester_f1,reduced_nonlinear_tester_auroc,one_for_all_trainer_accuracy,one_for_all_trainer_precision,one_for_all_trainer_recall,one_for_all_trainer_f1,one_for_all_trainer_auroc,one_for_all_tester_accuracy,one_for_all_tester_precision,one_for_all_tester_recall,one_for_all_tester_f1,one_for_all_tester_auroc
QwenToGemma_HE,67,halu_eval,Qwen2.5-7B,gemma-2-9b-it,attn,"[8, 16, 22]","[21, 26, 27]",0.658235294117647,0.6606060606060606,0.6442080378250591,0.6523040095751047,0.7336771471755775,0.7103494623655914,0.6691358024691358,0.7687943262411348,0.7155115511551156,0.7815765875927284,0.658235294117647,0.6606060606060606,0.6442080378250591,0.6523040095751047,0.7336771471755775,0.6901881720430108,0.6592689295039165,0.7163120567375887,0.6866077498300476,0.7541280581143628,0.658235294117647,0.6606060606060606,0.6442080378250591,0.6523040095751047,0.7336771471755775,0.6807795698924731,0.6324884792626728,0.7787234042553192,0.6980292434837889,0.7541280581143628,0.658235294117647,0.6606060606060606,0.6442080378250591,0.6523040095751047,0.7336771471755775,0.5497311827956989,0.5221238938053098,0.5858156028368794,0.5521390374331551,0.5603126726628804,0.658235294117647,0.6606060606060606,0.6442080378250591,0.6523040095751047,0.7336771471755775,0.6317204301075269,0.6104078762306611,0.6156028368794326,0.6129943502824858,0.6777207141110295,0.6858823529411765,0.6884057971014492,0.6737588652482269,0.6810035842293907,0.7689692782123894,0.6666666666666666,0.6395193591455274,0.6794326241134752,0.6588720770288858,0.7196199378640072,0.6705882352941176,0.6756756756756757,0.6501182033096927,0.6626506024096386,0.7419596835362443,0.6397849462365591,0.6229985443959243,0.6070921985815603,0.6149425287356322,0.68661177685389,0.6923529411764706,0.6880093131548312,0.6985815602836879,0.6932551319648094,0.7634743468367465,0.7224462365591398,0.7534722222222222,0.6156028368794326,0.6775956284153005,0.790239395668596
QwenToGemma_HE,67,halu_eval,Qwen2.5-7B,gemma-2-9b-it,mlp,"[5, 22, 26]","[23, 25, 28]",0.6811764705882353,0.6784037558685446,0.6832151300236406,0.6808009422850412,0.7426088328599664,0.7036290322580645,0.6594202898550725,0.774468085106383,0.7123287671232876,0.7754155231289005,0.6811764705882353,0.6784037558685446,0.6832151300236406,0.6808009422850412,0.7426088328599664,0.6512096774193549,0.6148148148148148,0.7063829787234043,0.6574257425742575,0.7212177205329565,0.6811764705882353,0.6784037558685446,0.6832151300236406,0.6808009422850412,0.7426088328599664,0.6270161290322581,0.5689338235294118,0.8780141843971632,0.690462911321807,0.7212177205329565,0.6811764705882353,0.6784037558685446,0.6832151300236406,0.6808009422850412,0.7426088328599664,0.5416666666666666,0.5138721351025332,0.6042553191489362,0.5554106910039114,0.5537729952990408,0.6811764705882353,0.6784037558685446,0.6832151300236406,0.6808009422850412,0.7426088328599664,0.6592741935483871,0.6390449438202247,0.6453900709219859,0.6422018348623854,0.7032200211950762,0.7088235294117647,0.7038327526132404,0.7163120567375887,0.7100175746924429,0.7776573598861705,0.6599462365591398,0.6339165545087483,0.6680851063829787,0.6505524861878453,0.7072054201425686,0.69,0.7001254705144291,0.6595744680851063,0.6792452830188679,0.7649276662182138,0.6397849462365591,0.642495784148398,0.5404255319148936,0.5870570107858244,0.6931279041330399,0.7029411764705882,0.707168894289186,0.6879432624113475,0.6974236069502696,0.7673581698695058,0.7190860215053764,0.711340206185567,0.6851063829787234,0.6979768786127167,0.7878427216651721
QwenToGemma_HE,67,halu_eval,Qwen2.5-7B,gemma-2-9b-it,hidden,"[7, 24, 26]","[19, 24, 28]",0.6923529411764706,0.6938775510204082,0.6832151300236406,0.6885050625372245,0.7543613422580984,0.7258064516129032,0.684472049689441,0.7815602836879433,0.7298013245033113,0.799360524623425,0.6923529411764706,0.6938775510204082,0.6832151300236406,0.6885050625372245,0.7543613422580984,0.6518817204301075,0.6268656716417911,0.6553191489361702,0.6407766990291263,0.7210275083104626,0.6923529411764706,0.6938775510204082,0.6832151300236406,0.6885050625372245,0.7543613422580984,0.6458333333333334,0.5980176211453745,0.7702127659574468,0.6732796032238065,0.7210256967654863,0.6923529411764706,0.6938775510204082,0.6832151300236406,0.6885050625372245,0.7543613422580984,0.5228494623655914,0.49696969696969695,0.5815602836879432,0.5359477124183006,0.5211651857286488,0.6923529411764706,0.6938775510204082,0.6832151300236406,0.6885050625372245,0.7543613422580984,0.655241935483871,0.6315068493150685,0.6539007092198581,0.6425087108013937,0.6978179940762479,0.7011764705882353,0.6978922716627635,0.7044917257683215,0.7011764705882353,0.778483675763062,0.6619623655913979,0.6278481012658228,0.7035460992907802,0.6635451505016723,0.7212086628080758,0.69,0.7262411347517731,0.6052009456264775,0.6602192134107028,0.7646716051843363,0.6418010752688172,0.6134564643799473,0.6595744680851063,0.6356801093643198,0.6837078702571489,0.7064705882352941,0.7103030303030303,0.6926713947990544,0.701376421304608,0.7623089231041794,0.7264784946236559,0.7660714285714286,0.6085106382978723,0.6782608695652174,0.7843138320516652
