encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
GemmaToFalcon_HE,GemmaToFalcon_HE,halu_eval,halu_eval,belief_bank_constraints,attn,gemma-2-9b-it,Falcon3-7B-Base,123,cuda:0,same_as_encoder_domain,ok,25.673,23054,23600,0.4806541164223128,0.48835022463692407,0.8109655591220613,0.6096057908637387,0.4648538102488303,"[[1733,9794],[2179,9348]]",0.4946186440677966,0.49566996249573814,0.6160169491525423,0.5493293028528244,0.4912070382074117,"[[4404,7396],[4531,7269]]"
GemmaToFalcon_HE,GemmaToFalcon_HE,halu_eval,halu_eval,belief_bank_constraints,mlp,gemma-2-9b-it,Falcon3-7B-Base,123,cuda:0,same_as_encoder_domain,ok,18.91,23054,23600,0.5165697926607097,0.5086629172714079,0.9729331135594691,0.6680565897244974,0.5401048668524513,"[[694,10833],[312,11215]]",0.5159745762711865,0.5171503957783641,0.4816949152542373,0.498793383353078,0.5259933962941683,"[[6493,5307],[6116,5684]]"
GemmaToFalcon_HE,GemmaToFalcon_HE,halu_eval,halu_eval,belief_bank_constraints,hidden,gemma-2-9b-it,Falcon3-7B-Base,123,cuda:0,same_as_encoder_domain,ok,22.048,23054,23600,0.4990023423267112,0.49949897616869254,0.994621323848356,0.6650232018561485,0.4331920562274011,"[[39,11488],[62,11465]]",0.5178813559322034,0.5206984500686679,0.4498305084745763,0.4826770937528417,0.5240814887963229,"[[6914,4886],[6492,5308]]"
